% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
0,13.5,0.3,300.2760613
1.856477493,12.58465504,0.3,300.2070437
2.30918075,12.60728537,0,300.2383821
2.2,13.35,0,300.2528539
2.240318275,13.5,0.3,300.2042225
2.7,13.35,0,300.211788
2.7,12.75,0,300.2200143
3,13.5,0,300.1633333
3,12.75,0,300.1110594
3,12.75,0.3,300.0523635
2.430941923,12.50462794,0.3,300.1723276
3,13.5,0.3,300.0591804
0.640040672,13.97575711,-2,311.5054169
0.3,13.65,-1.7,311.4524478
0,14.25,-2,311.5318329
0,14.25,-1.7,311.4986754
0.3,14.25,-1.7,311.45182
2.353100729,14.24868805,-2,311.5054609
0,15,-1.7,311.5055585
0,15,-2,311.5457369
0.3,14.85,-1.7,311.4697757
0.702621561,15,-1.7,311.4810624
0.943104069,15,-2,311.526885
1.017393052,13.65,-1.7,311.4428176
1.466768342,14.16979331,-2,311.5038092
0.858576759,14.44216837,-1.7,311.4488545
2.297378439,15,-1.7,311.4727604
2.056895931,15,-2,311.5235129
3,15,-2,311.5429874
2.7,13.65,-1.7,311.4475937
3,14.25,-1.7,311.4995639
3,14.25,-2,311.5417767
1.982606948,13.65,-1.7,311.4399537
1.458087574,14.3198027,-1.7,311.4478354
2.7,14.25,-1.7,311.4533497
2.210481846,14.24898332,-1.7,311.442896
1.017393052,14.85,-1.7,311.4569629
1.5,15,-1.7,311.4774814
1.982606948,14.85,-1.7,311.4558531
2.7,14.85,-1.7,311.466171
3,15,-1.7,311.5077556
1.7,13.65,0,300.2868777
1.3,13.65,0,300.3365452
0.8,13.65,0,300.3551397
0.3,13.65,0,300.3421728
0,14.25,0,300.3322781
0,14.25,0.3,300.2990674
0.3,14.25,0,300.3716951
0.3,14.85,0,300.3656812
2.2,13.65,0,300.2754895
2.7,13.65,0,300.2371933
0.816172119,14.29722952,0.3,300.3207189
0.90918075,14.10728537,0,300.3665989
0.8,14.85,0,300.3758534
1.3,14.25,0,300.3620911
1.301607211,14.03820286,0.3,300.2966095
1.7,14.25,0,300.308034
1.3,14.85,0,300.3573492
1.856477493,14.08465504,0.3,300.2494308
2.30918075,14.10728537,0,300.2825417
1.7,14.85,0,300.307506
2.2,14.85,0,300.2953903
2.430941923,14.00462794,0.3,300.2167194
2.7,14.25,0,300.2644991
0.759681725,15,0.3,300.3318455
0.767332332,15,0,300.3770072
0,15,0,300.3573937
0,15,0.3,300.3164054
3,14.25,0,300.1754384
3,14.25,0.3,300.105603
2.7,14.85,0,300.2524193
1.5,15,0.3,300.2939643
